measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,Under 5,HIV/AIDS,Rate,1990,11.613875613908204,13.466567178525718,9.80017619117729
Deaths,Global,Both,5-14 years,HIV/AIDS,Rate,1990,0.24175152949256176,0.2998083452586716,0.19477457664556128
Deaths,Global,Both,15-49 years,HIV/AIDS,Rate,1990,8.029435004470473,11.49364754252658,5.755420299727293
Deaths,Global,Both,50-69 years,HIV/AIDS,Rate,1990,5.648902229297632,7.597918059871241,3.9912829245134103
Deaths,Global,Both,70+ years,HIV/AIDS,Rate,1990,1.9618711425767679,2.7514595118538705,1.2996210145363674
Deaths,Global,Both,Under 5,HIV/AIDS,Rate,1991,14.300468756130297,16.560581205425454,12.043434974409099
Deaths,Global,Both,5-14 years,HIV/AIDS,Rate,1991,0.32623807927082665,0.39758137894277323,0.26617707938173446
Deaths,Global,Both,15-49 years,HIV/AIDS,Rate,1991,10.203963910229188,14.762974802570389,7.22935781779989
Deaths,Global,Both,50-69 years,HIV/AIDS,Rate,1991,7.172563425348157,9.598631039421296,5.090212085992611
Deaths,Global,Both,70+ years,HIV/AIDS,Rate,1991,2.4911938181621607,3.4530150054503035,1.6825442755066407
Deaths,Global,Both,Under 5,HIV/AIDS,Rate,1992,17.209547343144727,19.80864547471762,14.55026201711084
Deaths,Global,Both,5-14 years,HIV/AIDS,Rate,1992,0.43515867279627746,0.5257288143875031,0.35804220406014636
Deaths,Global,Both,15-49 years,HIV/AIDS,Rate,1992,12.691520720733672,18.420728622067596,8.896790950203409
Deaths,Global,Both,50-69 years,HIV/AIDS,Rate,1992,8.946586715848634,11.889877439301177,6.40116926393726
Deaths,Global,Both,70+ years,HIV/AIDS,Rate,1992,3.0912733642737953,4.2846568994272936,2.1164095017817286
Deaths,Global,Both,Under 5,HIV/AIDS,Rate,1993,20.27960917239873,23.214586152336956,17.307510355042808
Deaths,Global,Both,5-14 years,HIV/AIDS,Rate,1993,0.5804220339878104,0.6974078579859609,0.48389390879212807
